"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","End-to-End Checkout Process","1","0","Complete end-to-end purchase flow","0"
"0","","0","Product Management and Cart Functionality","1","0","View cart with added products","0"
"0","","0","User Login Functionality","1","0","Login with invalid username","0"
"0","","0","User Login Functionality","1","0","Successful login with valid credentials","0"
"0","","0","Product Management and Cart Functionality","1","0","Remove product from cart","0"
"0","","0","Product Management and Cart Functionality","1","0","Add single product to cart","0"
"0","","0","User Login Functionality","1","0","Login with locked out user","0"
"0","","0","User Login Functionality","3","0","Login with multiple invalid credentials","0"
"0","","0","Product Management and Cart Functionality","1","0","Add multiple products to cart","0"
"0","","0","User Login Functionality","1","0","Successful login using step by step approach","0"
"0","","0","End-to-End Checkout Process","1","0","Purchase single item with complete checkout","0"
"0","","0","End-to-End Checkout Process","3","0","Complete purchase with different user data","0"
"0","","0","Product Management and Cart Functionality","1","0","Verify products page displays all items","0"
"0","","0","User Login Functionality","1","0","Login with invalid password","0"
